date,title,warmup_time,warmup,main_time,main,cooldown_time,cooldown,objective_general,objective_specific,observations
2026-01-06,"Rede Esperanca | 14:00-15:00 | 08-11 (Feminino) | Semana 01 - Diagnostica","10 min","Introducao + pega-pega","45 min","Passar por baixo ao quicar | Partes do corpo ao quicar | Tapas controlados | Lancar + palmas | Toque (explicacao + pratica) | Mini Volei 1x1","5 min","Roda de conversa","Aula diagnostica do mesociclo base com foco em coordenacao, brincadeiras e jogos simples.","Observar controle motor e adaptacao ao mini volei | Introduzir toque de forma inicial | Aplicar em jogo reduzido 1x1.",""
2026-01-06,"Rede Esperanca | 15:30-16:30 | 08-11 (Masculino) | Semana 01 - Diagnostica","10 min","Introducao + pega-pega","45 min","Passar por baixo ao quicar | Partes do corpo ao quicar | Tapas controlados | Lancar + palmas | Toque (explicacao + pratica) | Mini Volei 1x1","5 min","Roda de conversa","Aula diagnostica do mesociclo base com foco em coordenacao, brincadeiras e jogos simples.","Observar controle motor e adaptacao ao mini volei | Introduzir toque de forma inicial | Aplicar em jogo reduzido 1x1.",""

2026-01-08,"Rede Esperanca | 14:00-15:00 | 08-11 (Feminino) | Semana 01 - Controle + alvo","10 min","Pega-pega com bola","45 min","Quique alternado | Quique zigue-zague | Lancar + palmas | Toque para alvo | Desafio 5 toques | Mini Volei 1x1 (2 quiques)","5 min","Roda de conversa","Desenvolver coordenacao e controle de bola com introducao do toque em atividades simples e jogos.","Controle de bola (quique/deslocamento) | Toque direcionado ao alvo | Aplicar em 1x1 com regra adaptada (2 quiques).",""
2026-01-08,"Rede Esperanca | 15:30-16:30 | 08-11 (Masculino) | Semana 01 - Controle + alvo","10 min","Pega-pega com bola","45 min","Quique alternado | Quique zigue-zague | Lancar + palmas | Toque para alvo | Desafio 5 toques | Mini Volei 1x1 (2 quiques)","5 min","Roda de conversa","Desenvolver coordenacao e controle de bola com introducao do toque em atividades simples e jogos.","Controle de bola (quique/deslocamento) | Toque direcionado ao alvo | Aplicar em 1x1 com regra adaptada (2 quiques).",""

2026-01-13,"Rede Esperanca | 14:00-15:00 | 08-11 (Feminino) | Semana 02 - Manchete adaptada","10 min","Pega-pega lateral","45 min","Quique andando | Tapas + deslocamento lateral | Manchete adaptada | Manchete para alvo | Toque para alvo | Mini jogo 3 contatos","5 min","Roda de conversa","Introduzir manchete adaptada e manter jogo reduzido com regras simples.","Manchete em curta distancia | Direcionar para alvo | Aplicar sequencia simples (pegar/lancar -> manchete -> devolver).",""
2026-01-13,"Rede Esperanca | 15:30-16:30 | 08-11 (Masculino) | Semana 02 - Manchete adaptada","10 min","Pega-pega lateral","45 min","Quique andando | Tapas + deslocamento lateral | Manchete adaptada | Manchete para alvo | Toque para alvo | Mini jogo 3 contatos","5 min","Roda de conversa","Introduzir manchete adaptada e manter jogo reduzido com regras simples.","Manchete em curta distancia | Direcionar para alvo | Aplicar sequencia simples (pegar/lancar -> manchete -> devolver).",""

2026-01-15,"Rede Esperanca | 14:00-15:00 | 08-11 (Feminino) | Semana 02 - Manchete + continuidade","10 min","Circuito cones + quique","45 min","Manchete adaptada | Manchete + deslocamento | Toque para alvo | Desafio 5 toques | Mini Volei 1x1 (2 quiques)","5 min","Roda de conversa","Reforcar manchete adaptada e aumentar continuidade do jogo com regras adaptadas.","Manchete com deslocamento | Toque direcionado | Aplicar em 1x1 com 2 quiques antes de devolver.",""
